Trip id,Request id,Pickup point,Driver id,Status,Request Hour,Request timestamp,Drop timestamp,Trip Duration (mins),Is Completed,Time Slot,DAY
62,2480,City,7,Trip Completed,20,12-07-2016 20:39,12-07-2016 21:28,49.0,1,Night,Tuesday
63,4105,City,7,Trip Completed,3,14-07-2016 03:39,14-07-2016 04:39,59.43,1,Late Night,Thursday
64,4509,City,7,Trip Completed,9,14-07-2016 09:11,14-07-2016 10:17,65.8,1,Morning,Thursday
65,4986,Airport,7,Trip Completed,18,14-07-2016 18:52,14-07-2016 19:50,58.42,1,Evening,Thursday
66,5898,City,7,Trip Completed,9,15-07-2016 09:50,15-07-2016 10:40,50.18,1,Morning,Friday
67,6142,Airport,7,Trip Completed,15,15-07-2016 15:50,15-07-2016 16:36,46.68,1,Afternoon,Friday
68,380,Airport,8,Trip Completed,8,11-07-2016 08:18,11-07-2016 09:18,60.0,1,Morning,Monday
69,1050,Airport,8,Trip Completed,19,11-07-2016 19:39,11-07-2016 20:30,51.0,1,Evening,Monday
70,1769,City,8,Trip Completed,8,12-07-2016 08:57,12-07-2016 09:24,27.0,1,Morning,Tuesday
71,2520,City,8,Trip Completed,21,12-07-2016 21:05,12-07-2016 22:20,75.0,1,Night,Tuesday
72,3265,Airport,8,Trip Completed,10,13-07-2016 10:22,13-07-2016 11:07,44.92,1,Morning,Wednesday
73,4648,City,8,Trip Completed,11,14-07-2016 11:55,14-07-2016 12:59,64.4,1,Morning,Thursday
74,449,Airport,9,Trip Completed,9,11-07-2016 09:08,11-07-2016 09:52,44.0,1,Morning,Monday
75,846,Airport,9,Trip Completed,17,11-07-2016 17:46,11-07-2016 18:52,66.0,1,Evening,Monday
76,1346,Airport,9,Trip Completed,23,11-07-2016 23:39,12-07-2016 00:23,44.0,1,Night,Monday
77,1474,Airport,9,Trip Completed,5,12-07-2016 05:13,12-07-2016 05:56,43.0,1,Early Morning,Tuesday
78,2240,City,9,Trip Completed,18,12-07-2016 18:20,12-07-2016 18:54,34.0,1,Evening,Tuesday
79,3072,Airport,9,Trip Completed,8,13-07-2016 08:04,13-07-2016 08:36,31.67,1,Morning,Wednesday
80,3459,Airport,9,Trip Completed,17,13-07-2016 17:03,13-07-2016 17:31,28.32,1,Evening,Wednesday
81,3774,Airport,9,Trip Completed,20,13-07-2016 20:41,13-07-2016 21:27,46.08,1,Night,Wednesday
82,4023,City,9,Trip Completed,23,13-07-2016 23:58,14-07-2016 00:58,59.97,1,Night,Wednesday
83,4117,City,9,Trip Completed,4,14-07-2016 04:21,14-07-2016 05:07,45.42,1,Early Morning,Thursday
84,4880,Airport,9,Trip Completed,17,14-07-2016 17:58,14-07-2016 19:02,63.93,1,Evening,Thursday
85,5568,Airport,9,Trip Completed,5,15-07-2016 05:47,15-07-2016 06:25,38.0,1,Early Morning,Friday
86,5994,Airport,9,Trip Completed,11,15-07-2016 11:51,15-07-2016 12:32,40.93,1,Morning,Friday
87,1809,Airport,10,Trip Completed,9,12-07-2016 09:13,12-07-2016 10:01,48.0,1,Morning,Tuesday
88,2064,Airport,10,Trip Completed,15,12-07-2016 15:08,12-07-2016 16:14,66.0,1,Afternoon,Tuesday
89,3210,City,10,Trip Completed,9,13-07-2016 09:47,13-07-2016 10:52,65.52,1,Morning,Wednesday
90,4350,City,10,Trip Completed,7,14-07-2016 07:24,14-07-2016 08:22,57.43,1,Morning,Thursday
91,4713,City,10,Trip Completed,13,14-07-2016 13:31,14-07-2016 14:10,39.53,1,Afternoon,Thursday
92,5629,Airport,10,Trip Completed,6,15-07-2016 06:33,15-07-2016 07:19,46.88,1,Morning,Friday
93,6157,Airport,10,Trip Completed,16,15-07-2016 16:32,15-07-2016 17:44,71.88,1,Afternoon,Friday
94,2030,City,11,Trip Completed,14,12-07-2016 14:11,12-07-2016 15:02,51.0,1,Afternoon,Tuesday
95,3226,City,11,Trip Completed,10,13-07-2016 10:00,13-07-2016 11:02,62.58,1,Morning,Wednesday
96,3353,City,11,Trip Completed,13,13-07-2016 13:29,13-07-2016 14:09,39.27,1,Afternoon,Wednesday
97,4293,City,11,Trip Completed,6,14-07-2016 06:42,14-07-2016 07:12,30.08,1,Morning,Thursday
98,4936,City,11,Trip Completed,18,14-07-2016 18:22,14-07-2016 19:14,52.32,1,Evening,Thursday
99,5661,Airport,11,Trip Completed,7,15-07-2016 07:08,15-07-2016 07:59,50.17,1,Morning,Friday
100,5778,City,11,Trip Completed,8,15-07-2016 08:22,15-07-2016 09:13,51.02,1,Morning,Friday
101,6425,Airport,11,Trip Completed,19,15-07-2016 19:46,15-07-2016 20:26,40.18,1,Evening,Friday
102,45,Airport,12,Trip Completed,3,11-07-2016 03:17,11-07-2016 04:09,52.0,1,Late Night,Monday
103,264,City,12,Trip Completed,6,11-07-2016 06:51,11-07-2016 07:40,49.0,1,Morning,Monday
104,1183,City,12,Trip Completed,21,11-07-2016 21:05,11-07-2016 21:38,33.0,1,Night,Monday
105,1536,Airport,12,Trip Completed,5,12-07-2016 05:59,12-07-2016 06:59,60.0,1,Early Morning,Tuesday
106,2437,City,12,Trip Completed,20,12-07-2016 20:18,12-07-2016 21:26,68.0,1,Night,Tuesday
107,2641,Airport,12,Trip Completed,22,12-07-2016 22:28,12-07-2016 23:05,37.0,1,Night,Tuesday
108,4077,Airport,12,Trip Completed,2,14-07-2016 02:14,14-07-2016 03:13,58.9,1,Late Night,Thursday
109,4610,City,12,Trip Completed,10,14-07-2016 10:35,14-07-2016 11:39,63.78,1,Morning,Thursday
110,5066,Airport,12,Trip Completed,19,14-07-2016 19:31,14-07-2016 20:14,42.72,1,Evening,Thursday
111,5666,Airport,12,Trip Completed,7,15-07-2016 07:04,15-07-2016 08:12,67.7,1,Morning,Friday
112,5923,City,12,Trip Completed,10,15-07-2016 10:07,15-07-2016 10:50,43.02,1,Morning,Friday
113,6367,City,12,Trip Completed,19,15-07-2016 19:04,15-07-2016 19:46,41.3,1,Evening,Friday
114,155,City,13,Trip Completed,5,11-07-2016 05:32,11-07-2016 06:28,56.0,1,Early Morning,Monday
115,310,Airport,13,Trip Completed,7,11-07-2016 07:24,11-07-2016 08:28,64.0,1,Morning,Monday
116,607,City,13,Trip Completed,11,11-07-2016 11:51,11-07-2016 12:42,51.0,1,Morning,Monday
117,1012,City,13,Trip Completed,19,11-07-2016 19:15,11-07-2016 19:57,42.0,1,Evening,Monday
118,1696,Airport,13,Trip Completed,8,12-07-2016 08:01,12-07-2016 08:42,41.0,1,Morning,Tuesday
119,3076,City,13,Trip Completed,8,13-07-2016 08:09,13-07-2016 09:12,63.25,1,Morning,Wednesday
120,4198,Airport,13,Trip Completed,5,14-07-2016 05:32,14-07-2016 06:45,73.3,1,Early Morning,Thursday
121,4627,City,13,Trip Completed,11,14-07-2016 11:13,14-07-2016 12:00,46.88,1,Morning,Thursday
122,5289,City,13,Trip Completed,21,14-07-2016 21:43,14-07-2016 22:24,40.82,1,Night,Thursday
123,5495,Airport,13,Trip Completed,5,15-07-2016 05:00,15-07-2016 06:02,62.23,1,Early Morning,Friday
124,6656,Airport,13,Trip Completed,22,15-07-2016 22:08,15-07-2016 22:41,32.6,1,Night,Friday
125,139,Airport,14,Trip Completed,5,11-07-2016 05:21,11-07-2016 06:09,48.0,1,Early Morning,Monday
126,215,City,14,Trip Completed,6,11-07-2016 06:15,11-07-2016 07:07,52.0,1,Morning,Monday
127,1816,City,14,Trip Completed,9,12-07-2016 09:24,12-07-2016 10:07,43.0,1,Morning,Tuesday
128,2505,Airport,14,Trip Completed,21,12-07-2016 21:03,12-07-2016 22:14,71.0,1,Night,Tuesday
129,3346,City,14,Trip Completed,13,13-07-2016 13:01,13-07-2016 13:55,54.28,1,Afternoon,Wednesday
130,5294,City,14,Trip Completed,21,14-07-2016 21:45,14-07-2016 22:16,30.83,1,Night,Thursday
131,6226,Airport,14,Trip Completed,17,15-07-2016 17:34,15-07-2016 18:33,58.8,1,Evening,Friday
132,6733,Airport,14,Trip Completed,23,15-07-2016 23:32,16-07-2016 00:37,65.03,1,Night,Friday
133,1027,Airport,15,Trip Completed,19,11-07-2016 19:18,11-07-2016 20:24,66.0,1,Evening,Monday
134,2675,Airport,15,Trip Completed,23,12-07-2016 23:43,13-07-2016 00:35,52.2,1,Night,Tuesday
135,3200,City,15,Trip Completed,9,13-07-2016 09:39,13-07-2016 10:30,51.23,1,Morning,Wednesday
136,3865,City,15,Trip Completed,21,13-07-2016 21:52,13-07-2016 22:21,29.17,1,Night,Wednesday
137,4468,City,15,Trip Completed,8,14-07-2016 08:42,14-07-2016 09:22,39.25,1,Morning,Thursday
138,5163,Airport,15,Trip Completed,20,14-07-2016 20:34,14-07-2016 21:05,30.8,1,Night,Thursday
139,6009,City,15,Trip Completed,12,15-07-2016 12:22,15-07-2016 13:25,62.87,1,Afternoon,Friday
140,6448,Airport,15,Trip Completed,20,15-07-2016 20:02,15-07-2016 20:40,37.85,1,Night,Friday
141,591,City,16,Trip Completed,11,11-07-2016 11:25,11-07-2016 12:31,66.0,1,Morning,Monday
142,709,City,16,Trip Completed,14,11-07-2016 14:16,11-07-2016 15:03,47.0,1,Afternoon,Monday
143,1167,Airport,16,Trip Completed,20,11-07-2016 20:50,11-07-2016 21:52,62.0,1,Night,Monday
144,2661,Airport,16,Trip Completed,23,12-07-2016 23:23,13-07-2016 00:27,64.35,1,Night,Tuesday
145,2808,City,16,Trip Completed,5,13-07-2016 05:05,13-07-2016 05:56,50.92,1,Early Morning,Wednesday
146,3258,Airport,16,Trip Completed,10,13-07-2016 10:12,13-07-2016 10:45,32.62,1,Morning,Wednesday
147,3413,Airport,16,Trip Completed,15,13-07-2016 15:32,13-07-2016 16:45,73.72,1,Afternoon,Wednesday
148,3939,Airport,16,Trip Completed,22,13-07-2016 22:26,13-07-2016 22:55,29.47,1,Night,Wednesday
149,4125,City,16,Trip Completed,4,14-07-2016 04:37,14-07-2016 05:46,69.3,1,Early Morning,Thursday
150,4457,City,16,Trip Completed,8,14-07-2016 08:36,14-07-2016 09:19,42.93,1,Morning,Thursday
151,4728,City,16,Trip Completed,14,14-07-2016 14:04,14-07-2016 15:06,62.45,1,Afternoon,Thursday
152,5347,Airport,16,Trip Completed,22,14-07-2016 22:51,14-07-2016 23:53,61.92,1,Night,Thursday
153,6147,City,16,Trip Completed,16,15-07-2016 16:11,15-07-2016 17:30,79.1,1,Afternoon,Friday
154,6496,Airport,16,Trip Completed,20,15-07-2016 20:33,15-07-2016 21:32,59.82,1,Night,Friday
155,634,City,17,Trip Completed,12,11-07-2016 12:25,11-07-2016 13:06,41.0,1,Afternoon,Monday
156,939,Airport,17,Trip Completed,18,11-07-2016 18:25,11-07-2016 19:26,61.0,1,Evening,Monday
157,2628,Airport,17,Trip Completed,22,12-07-2016 22:10,12-07-2016 23:25,75.0,1,Night,Tuesday
158,3021,City,17,Trip Completed,7,13-07-2016 07:33,13-07-2016 08:26,52.78,1,Morning,Wednesday
159,4743,City,17,Trip Completed,14,14-07-2016 14:54,14-07-2016 15:39,44.78,1,Afternoon,Thursday
160,4981,City,17,Trip Completed,18,14-07-2016 18:47,14-07-2016 19:43,56.03,1,Evening,Thursday
161,5367,Airport,17,Trip Completed,23,14-07-2016 23:35,15-07-2016 00:25,49.87,1,Night,Thursday
162,5471,Airport,17,Trip Completed,4,15-07-2016 04:48,15-07-2016 05:47,58.27,1,Early Morning,Friday
163,5988,Airport,17,Trip Completed,11,15-07-2016 11:48,15-07-2016 12:55,66.5,1,Morning,Friday
164,6477,Airport,17,Trip Completed,20,15-07-2016 20:21,15-07-2016 21:00,39.08,1,Night,Friday
165,499,City,18,Trip Completed,9,11-07-2016 09:39,11-07-2016 10:16,37.0,1,Morning,Monday
166,1147,Airport,18,Trip Completed,20,11-07-2016 20:42,11-07-2016 21:18,36.0,1,Night,Monday
167,1410,Airport,18,Trip Completed,3,12-07-2016 03:14,12-07-2016 04:27,73.0,1,Late Night,Tuesday
168,1804,Airport,18,Trip Completed,9,12-07-2016 09:12,12-07-2016 09:57,45.0,1,Morning,Tuesday
169,1949,Airport,18,Trip Completed,11,12-07-2016 11:32,12-07-2016 12:13,41.0,1,Morning,Tuesday
170,2713,City,18,Trip Completed,1,13-07-2016 01:46,13-07-2016 02:37,50.43,1,Late Night,Wednesday
171,2845,City,18,Trip Completed,5,13-07-2016 05:28,13-07-2016 06:10,42.18,1,Early Morning,Wednesday
172,3943,Airport,18,Trip Completed,22,13-07-2016 22:35,13-07-2016 23:33,57.7,1,Night,Wednesday
173,4792,City,18,Trip Completed,16,14-07-2016 16:47,14-07-2016 17:34,47.4,1,Afternoon,Thursday
174,5207,Airport,18,Trip Completed,20,14-07-2016 20:57,14-07-2016 21:56,58.67,1,Night,Thursday
175,5890,City,18,Trip Completed,9,15-07-2016 09:43,15-07-2016 10:55,71.42,1,Morning,Friday
176,494,City,19,Trip Completed,9,11-07-2016 09:36,11-07-2016 10:02,26.0,1,Morning,Monday
177,1485,City,19,Trip Completed,5,12-07-2016 05:21,12-07-2016 06:35,74.0,1,Early Morning,Tuesday
178,2042,City,19,Trip Completed,14,12-07-2016 14:30,12-07-2016 15:09,39.0,1,Afternoon,Tuesday
179,2561,Airport,19,Trip Completed,21,12-07-2016 21:29,12-07-2016 22:44,75.0,1,Night,Tuesday
180,3813,Airport,19,Trip Completed,21,13-07-2016 21:06,13-07-2016 21:46,39.45,1,Night,Wednesday
181,4260,Airport,19,Trip Completed,6,14-07-2016 06:11,14-07-2016 06:59,47.92,1,Morning,Thursday
182,4395,City,19,Trip Completed,8,14-07-2016 08:00,14-07-2016 08:54,54.4,1,Morning,Thursday
183,5919,City,19,Trip Completed,10,15-07-2016 10:03,15-07-2016 10:59,55.75,1,Morning,Friday
184,6002,Airport,19,Trip Completed,12,15-07-2016 12:04,15-07-2016 12:53,49.35,1,Afternoon,Friday
185,468,City,20,Trip Completed,9,11-07-2016 09:20,11-07-2016 10:05,45.0,1,Morning,Monday
186,693,Airport,20,Trip Completed,13,11-07-2016 13:51,11-07-2016 15:01,70.0,1,Afternoon,Monday
187,1178,City,20,Trip Completed,21,11-07-2016 21:05,11-07-2016 22:06,61.0,1,Night,Monday
188,2103,City,20,Trip Completed,16,12-07-2016 16:08,12-07-2016 17:18,70.0,1,Afternoon,Tuesday
189,2292,Airport,20,Trip Completed,18,12-07-2016 18:46,12-07-2016 19:23,37.0,1,Evening,Tuesday
190,3339,City,20,Trip Completed,12,13-07-2016 12:40,13-07-2016 13:30,49.47,1,Afternoon,Wednesday
191,3694,City,20,Trip Completed,19,13-07-2016 19:33,13-07-2016 20:35,61.82,1,Evening,Wednesday
192,4469,City,20,Trip Completed,8,14-07-2016 08:45,14-07-2016 09:48,62.92,1,Morning,Thursday
193,6432,City,20,Trip Completed,19,15-07-2016 19:50,15-07-2016 20:30,39.13,1,Evening,Friday
194,1895,City,21,Trip Completed,10,12-07-2016 10:20,12-07-2016 10:52,32.0,1,Morning,Tuesday
195,1981,Airport,21,Trip Completed,12,12-07-2016 12:23,12-07-2016 12:56,33.0,1,Afternoon,Tuesday
196,3744,Airport,21,Trip Completed,20,13-07-2016 20:28,13-07-2016 21:22,54.52,1,Night,Wednesday
197,4433,Airport,21,Trip Completed,8,14-07-2016 08:26,14-07-2016 09:12,45.5,1,Morning,Thursday
198,6039,Airport,21,Trip Completed,13,15-07-2016 13:11,15-07-2016 13:38,26.95,1,Afternoon,Friday
199,6543,City,21,Trip Completed,20,15-07-2016 20:54,15-07-2016 22:12,78.27,1,Night,Friday
200,110,City,22,Trip Completed,5,11-07-2016 05:05,11-07-2016 06:06,61.0,1,Early Morning,Monday
201,362,City,22,Trip Completed,8,11-07-2016 08:01,11-07-2016 09:18,77.0,1,Morning,Monday
202,666,Airport,22,Trip Completed,13,11-07-2016 13:02,11-07-2016 13:45,43.0,1,Afternoon,Monday
203,926,City,22,Trip Completed,18,11-07-2016 18:28,11-07-2016 19:34,66.0,1,Evening,Monday
204,1180,Airport,22,Trip Completed,21,11-07-2016 21:01,11-07-2016 22:14,73.0,1,Night,Monday
205,1900,City,22,Trip Completed,10,12-07-2016 10:32,12-07-2016 11:42,70.0,1,Morning,Tuesday
206,2506,City,22,Trip Completed,21,12-07-2016 21:01,12-07-2016 21:38,37.0,1,Night,Tuesday
207,3064,City,22,Trip Completed,8,13-07-2016 08:02,13-07-2016 08:58,56.72,1,Morning,Wednesday
208,3327,Airport,22,Trip Completed,12,13-07-2016 12:24,13-07-2016 13:23,58.97,1,Afternoon,Wednesday
209,3601,City,22,Trip Completed,18,13-07-2016 18:39,13-07-2016 19:29,50.12,1,Evening,Wednesday
210,4768,Airport,22,Trip Completed,15,14-07-2016 15:39,14-07-2016 16:49,69.65,1,Afternoon,Thursday
211,5142,City,22,Trip Completed,20,14-07-2016 20:17,14-07-2016 20:48,31.12,1,Night,Thursday
212,5366,Airport,22,Trip Completed,23,14-07-2016 23:27,15-07-2016 00:19,52.47,1,Night,Thursday
213,5575,City,22,Trip Completed,5,15-07-2016 05:53,15-07-2016 06:50,56.12,1,Early Morning,Friday
214,5902,City,22,Trip Completed,9,15-07-2016 09:52,15-07-2016 10:37,44.13,1,Morning,Friday
215,6694,Airport,22,Trip Completed,22,15-07-2016 22:45,15-07-2016 23:17,32.15,1,Night,Friday
216,523,Airport,23,Trip Completed,9,11-07-2016 09:48,11-07-2016 10:37,49.0,1,Morning,Monday
217,747,City,23,Trip Completed,15,11-07-2016 15:53,11-07-2016 16:43,50.0,1,Afternoon,Monday
218,1371,Airport,23,Trip Completed,0,12-07-2016 00:22,12-07-2016 01:33,71.0,1,Late Night,Tuesday
219,1553,City,23,Trip Completed,6,12-07-2016 06:09,12-07-2016 07:09,60.0,1,Morning,Tuesday
220,1692,Airport,23,Trip Completed,7,12-07-2016 07:52,12-07-2016 09:01,69.0,1,Morning,Tuesday
221,2114,City,23,Trip Completed,16,12-07-2016 16:36,12-07-2016 17:21,45.0,1,Afternoon,Tuesday
222,2742,City,23,Trip Completed,3,13-07-2016 03:07,13-07-2016 03:51,43.97,1,Late Night,Wednesday
223,4273,City,23,Trip Completed,6,14-07-2016 06:17,14-07-2016 07:02,45.45,1,Morning,Thursday
224,4668,City,23,Trip Completed,12,14-07-2016 12:25,14-07-2016 13:34,69.93,1,Afternoon,Thursday
225,5425,City,23,Trip Completed,2,15-07-2016 02:23,15-07-2016 03:08,44.65,1,Late Night,Friday
226,5488,City,23,Trip Completed,4,15-07-2016 04:53,15-07-2016 06:00,66.57,1,Early Morning,Friday
227,5781,City,23,Trip Completed,8,15-07-2016 08:35,15-07-2016 09:42,66.67,1,Morning,Friday
228,5966,Airport,23,Trip Completed,10,15-07-2016 10:54,15-07-2016 11:58,64.28,1,Morning,Friday
229,6122,City,23,Trip Completed,15,15-07-2016 15:26,15-07-2016 16:29,63.57,1,Afternoon,Friday
230,357,Airport,24,Trip Completed,8,11-07-2016 08:00,11-07-2016 09:08,68.0,1,Morning,Monday
231,1068,City,24,Trip Completed,19,11-07-2016 19:52,11-07-2016 20:48,56.0,1,Evening,Monday
232,2689,Airport,24,Trip Completed,0,13-07-2016 00:34,13-07-2016 01:49,75.08,1,Late Night,Wednesday
233,2791,City,24,Trip Completed,4,13-07-2016 04:56,13-07-2016 05:33,37.0,1,Early Morning,Wednesday
234,3321,City,24,Trip Completed,12,13-07-2016 12:23,13-07-2016 13:25,62.2,1,Afternoon,Wednesday
235,3423,Airport,24,Trip Completed,15,13-07-2016 15:52,13-07-2016 16:50,58.65,1,Afternoon,Wednesday
236,3761,Airport,24,Trip Completed,20,13-07-2016 20:35,13-07-2016 21:39,63.63,1,Night,Wednesday
237,4140,City,24,Trip Completed,4,14-07-2016 04:48,14-07-2016 06:05,76.87,1,Early Morning,Thursday
238,4656,City,24,Trip Completed,12,14-07-2016 12:06,14-07-2016 12:49,42.78,1,Afternoon,Thursday
239,4931,Airport,24,Trip Completed,18,14-07-2016 18:21,14-07-2016 18:54,32.18,1,Evening,Thursday
240,5268,City,24,Trip Completed,21,14-07-2016 21:29,14-07-2016 22:30,60.6,1,Night,Thursday
241,5811,City,24,Trip Completed,8,15-07-2016 08:46,15-07-2016 09:26,40.05,1,Morning,Friday
242,6139,Airport,24,Trip Completed,15,15-07-2016 15:45,15-07-2016 16:40,55.42,1,Afternoon,Friday
243,6333,Airport,24,Trip Completed,18,15-07-2016 18:41,15-07-2016 19:53,72.12,1,Evening,Friday
244,773,City,25,Trip Completed,16,11-07-2016 16:23,11-07-2016 17:21,58.0,1,Afternoon,Monday
245,1123,City,25,Trip Completed,20,11-07-2016 20:20,11-07-2016 21:18,58.0,1,Night,Monday
246,2667,Airport,25,Trip Completed,23,12-07-2016 23:35,13-07-2016 00:40,65.87,1,Night,Tuesday
